GEOID,W,BAA,AIAN,A,NHOPI,OTH,TOM
360050001000,0,0,0,0,0,0,0
360050001001,989,1318,9,13,0,334,287
360050002000,0,0,0,0,0,0,0
360050002001,31,779,0,79,0,362,174
360050002002,506,906,0,33,0,844,211
360050002003,75,0,0,274,0,582,205
360050004000,0,0,0,0,0,0,0
360050004001,0,0,0,0,0,95,425
360050004002,55,507,0,87,0,1097,392
360050004003,88,1530,0,17,0,1334,546
360050004004,0,345,0,19,0,80,32
360050016001,36,1001,160,0,0,638,339
360050016002,10,507,0,3,0,575,3
360050016003,0,211,0,0,0,551,184
360050016004,109,575,0,251,0,95,363
360050019011,248,1200,112,69,0,476,155
360050019021,89,406,18,27,502,583,454
360050019031,0,0,0,0,0,0,0
360050019032,0,0,0,0,0,0,0
360050019040,0,0,0,0,0,0,0
360050019041,0,0,0,0,0,0,0
360050019042,0,0,0,0,0,0,0
360050020011,28,1117,62,0,0,992,411
360050020012,395,228,0,0,0,488,60
360050020013,27,147,0,0,0,198,46
360050020021,33,73,0,0,0,462,31
360050020022,212,112,0,98,0,1067,470
360050020023,245,720,0,0,0,0,86
360050023001,112,703,133,0,0,979,238
360050023002,80,268,0,0,0,165,75
360050023003,119,705,3,0,0,618,369
360050024000,0,0,0,0,0,0,0
360050024001,0,79,0,0,0,15,11
360050025001,118,329,135,0,0,1022,46
360050025002,54,506,22,0,0,509,331
360050025003,41,81,90,0,0,157,212
360050025004,0,165,0,0,0,188,84
360050025005,29,0,0,0,0,683,315
360050027011,13,378,0,0,0,321,685
360050027012,82,351,0,36,0,1115,130
360050027021,43,490,0,23,0,782,172
360050027022,8,168,0,0,0,421,299
360050027023,41,202,60,0,0,524,104
360050027024,63,576,0,10,0,610,202
360050028001,51,939,0,0,0,137,142
360050028002,301,861,0,0,0,173,126
360050028003,104,489,0,0,0,691,0
360050028004,34,934,114,0,0,333,33
360050031001,811,1044,12,328,0,364,229
360050033001,68,200,0,0,0,78,115
360050033002,0,491,152,0,0,570,95
360050033003,16,457,0,0,0,810,525
360050035001,50,251,24,0,0,92,411
360050035002,98,437,0,92,0,208,173
360050035003,71,738,0,0,0,661,175
360050037001,35,173,0,0,0,60,150
360050038001,195,151,0,89,0,695,120
360050039001,109,16,15,0,0,1113,157
360050039002,0,0,431,0,0,142,596
360050039003,188,90,112,12,0,294,88
360050039004,36,65,0,0,0,101,131
360050039005,89,54,3,37,16,1621,65
360050040011,75,190,0,445,0,446,138
360050041001,99,286,0,0,0,199,256
360050041002,170,610,0,58,0,1342,189
360050041003,16,28,0,0,0,31,0
360050041004,0,1152,0,0,0,1242,484
360050042001,246,220,49,0,0,159,145
360050042002,55,1215,110,27,0,927,124
360050042003,22,1101,0,0,0,278,67
360050042004,557,235,0,0,0,26,78
360050042005,472,609,0,0,0,141,261
360050042006,0,0,0,0,0,0,0
360050042007,0,173,0,0,0,342,116
360050043001,0,258,14,0,0,480,279
360050043002,76,703,0,0,0,305,258
360050043003,468,353,9,0,0,547,221
360050043004,134,430,214,0,0,291,360
360050044001,328,569,0,0,0,197,361
360050044002,34,78,0,0,0,231,53
360050044003,229,629,11,130,0,795,135
360050044004,25,256,0,0,0,140,102
360050046001,145,537,0,0,0,291,505
360050048001,243,316,0,14,0,1444,216
360050048002,98,462,19,22,0,1130,240
360050050011,37,320,39,41,0,499,156
360050050012,15,258,0,0,0,1474,111
360050050013,12,387,212,0,0,261,59
360050050014,27,587,0,30,0,258,95
360050050021,73,364,219,0,41,894,222
360050050022,12,431,0,0,0,705,81
360050050023,0,638,0,0,0,1193,135
360050050024,33,165,0,0,0,790,279
360050051001,39,118,0,0,0,408,69
360050051002,492,2827,0,88,0,738,923
360050051003,75,835,0,0,0,539,110
360050052001,84,239,0,0,0,519,95
360050052002,80,313,55,0,0,349,103
360050053001,51,1150,0,0,0,867,200
360050053002,171,1209,0,0,0,351,66
360050054001,8,282,39,0,0,385,106
360050054002,19,771,0,0,0,1624,402
360050054003,33,139,0,0,0,240,238
360050054004,0,440,185,0,0,345,226
360050056001,15,146,26,0,0,417,191
360050056002,0,0,0,73,0,895,164
360050056003,10,264,0,4,0,296,0
360050059021,497,208,0,19,0,405,17
360050059022,286,535,0,0,0,217,835
360050060001,23,236,6,0,0,513,502
360050060002,0,0,0,0,0,0,0
360050061001,0,0,0,0,0,0,0
360050061002,96,2089,18,0,0,229,227
360050061003,0,622,0,30,0,58,0
360050061004,0,0,0,0,0,0,0
360050062001,89,569,0,0,0,66,0
360050062002,0,820,0,0,0,792,168
360050062003,73,653,45,0,0,837,9
360050062004,72,202,0,0,0,841,574
360050062005,0,234,0,22,0,278,19
360050063011,40,195,0,0,0,335,127
360050063012,460,112,0,67,0,238,63
360050063013,0,933,0,0,0,0,4
360050063014,528,520,0,0,0,1486,301
360050063015,89,1100,0,0,0,236,90
360050063016,12,71,0,0,0,46,0
360050063021,0,0,0,0,0,0,0
360050064001,36,928,0,61,0,681,379
360050064002,290,99,0,0,0,700,15
360050064003,83,68,0,0,0,283,58
360050064004,81,0,0,17,0,275,140
360050065001,145,63,0,69,2,91,75
360050065002,944,1600,0,0,0,1084,88
360050065003,29,44,0,0,0,93,0
360050065004,104,380,0,0,0,213,0
360050067001,48,21,0,0,0,0,0
360050067002,0,275,0,0,286,840,323
360050067003,115,28,0,0,0,230,29
360050067004,0,1224,0,0,0,31,245
360050067005,40,82,0,37,0,400,0
360050067006,0,291,0,0,0,453,2666
360050068001,144,164,0,372,0,646,33
360050068002,0,45,0,0,0,290,32
360050068003,169,159,0,0,0,432,56
360050069001,77,943,0,52,0,787,395
360050069002,431,144,40,0,0,598,30
360050069003,156,163,0,0,0,1008,0
360050069004,0,814,0,0,0,53,386
360050070001,327,710,0,206,0,825,79
360050070002,0,33,0,251,0,421,59
360050070003,131,251,0,327,0,476,312
360050071001,50,112,0,42,0,193,105
360050071002,140,950,0,40,0,695,478
360050072001,150,365,0,637,9,720,126
360050072002,44,23,0,1170,0,371,150
360050072003,25,104,0,190,0,124,101
360050072004,91,53,59,0,0,303,30
360050073001,315,820,0,36,44,873,76
360050073002,109,190,233,0,0,54,0
360050073003,41,559,0,0,0,748,227
360050074001,36,789,0,0,0,220,278
360050074002,30,446,0,0,0,283,166
360050074003,82,594,0,0,0,184,172
360050075001,174,731,0,0,0,500,307
360050075002,194,863,33,25,0,741,1276
360050075003,51,178,0,35,0,295,245
360050075004,123,39,0,0,0,111,432
360050076001,109,104,0,20,0,609,58
360050076002,0,170,178,53,0,341,123
360050076003,19,559,0,178,0,146,33
360050076004,90,493,0,272,0,364,123
360050076005,9,36,0,440,0,506,219
360050077001,81,530,60,36,0,955,304
360050078001,237,50,0,60,0,590,81
360050078002,391,607,0,0,0,885,146
360050078003,221,144,0,0,0,1150,55
360050078004,25,321,0,42,0,606,22
360050079001,22,321,0,0,0,222,338
360050079002,66,6,50,0,0,179,418
360050079003,0,461,217,0,0,381,522
360050079004,9,939,32,0,34,331,237
360050079005,0,277,0,0,0,293,363
360050079006,0,90,0,0,0,581,440
360050083001,49,154,0,0,0,600,70
360050083002,0,56,84,0,0,86,57
360050083003,19,158,0,0,0,733,58
360050083004,0,157,0,17,0,1963,343
360050083005,74,317,0,0,0,477,88
360050083006,51,113,139,0,0,39,385
360050084001,68,471,0,63,0,125,15
360050084002,270,928,0,202,0,619,347
360050085001,33,134,5,6,0,324,294
360050085002,260,368,0,21,0,441,354
360050085003,0,1146,0,0,0,529,277
360050085004,0,55,0,137,0,546,45
360050085005,24,219,0,16,0,629,3
360050086001,32,125,64,122,0,170,61
360050086002,0,194,0,0,0,171,568
360050086003,83,1176,0,0,0,915,168
360050087001,140,628,0,0,0,783,288
360050087002,138,335,0,0,0,673,491
360050087003,13,112,0,0,0,117,146
360050087004,0,450,0,0,0,662,33
360050087005,23,291,0,0,0,251,340
360050089001,320,93,144,0,22,831,235
360050089002,51,446,0,0,0,649,158
360050090000,0,0,0,0,0,0,0
360050090001,11,0,0,0,0,25,0
360050090002,3,303,0,0,0,116,80
360050090003,9,518,69,0,0,240,157
360050090004,132,429,0,183,0,303,194
360050090005,228,226,91,0,0,305,239
360050092001,348,411,50,1091,0,240,46
360050092002,10,0,0,100,0,227,99
360050092003,136,0,135,104,0,526,292
360050092004,335,0,0,294,0,441,12
360050092005,65,142,24,13,0,424,323
360050093011,64,619,0,0,0,118,101
360050093012,27,370,0,0,0,1186,409
360050093013,13,299,0,0,136,512,481
